"Data","clin","mol","naive","pcr.las","ipf.las","stk.pf:ibsLoss","stk.pf:logLik:ridge","stk.pf:PaLogLik:ridge","stk.comp:ibsLoss","stk.comp:logLik:lasso","stk.comp:logLik:ridge","stk.comp:PaLogLik:lasso","stk.comp:PaLogLik:ridge","Rstk.comp:ibsLoss","Rstk.comp:logLik:ridge","Rstk.comp:PaLogLik:ridge","Rstk.pf:ibsLoss","Rstk.pf:logLik:ridge","Rstk.pf:PaLogLik:ridge"
"BLCA","0.664","0.608","0.651","0.667","0.675","0.677","0.680","0.675","0.675","0.674","0.682","0.678","0.680","0.709","0.714","0.716","0.713","0.714","0.714"
"BRCA","0.733","0.631","0.717","0.733","0.735","0.736","0.737","0.738","0.729","0.723","0.727","0.725","0.728","0.770","0.771","0.770","0.758","0.756","0.758"
"HNSC","0.626","0.637","0.642","0.547","0.657","0.664","0.665","0.665","0.669","0.669","0.675","0.674","0.676","0.665","0.698","0.700","0.691","0.702","0.701"
"KIRC","0.767","0.722","0.794","0.799","0.798","0.798","0.800","0.801","0.787","0.792","0.795","0.798","0.798","0.791","0.798","0.800","0.796","0.795","0.794"
"LAML","0.639","0.653","0.705","0.652","0.699","0.702","0.697","0.700","0.646","0.649","0.655","0.639","0.660","0.662","0.728","0.720","0.692","0.723","0.724"
"LGG","0.833","0.893","0.909","0.868","0.906","0.905","0.904","0.905","0.902","0.899","0.898","0.897","0.898","0.874","0.882","0.883","0.889","0.884","0.886"
"LIHC","0.562","0.681","0.696","0.603","0.667","0.673","0.679","0.673","0.675","0.679","0.680","0.674","0.675","0.618","0.714","0.704","0.672","0.698","0.699"
"LUAD","0.530","0.670","0.723","0.709","0.724","0.735","0.735","0.735","0.727","0.716","0.731","0.730","0.731","0.723","0.725","0.727","0.717","0.716","0.716"
"PAAD","0.641","0.646","0.645","0.631","0.666","0.685","0.690","0.681","0.669","0.672","0.682","0.650","0.670","0.660","0.691","0.691","0.692","0.692","0.690"
"SKCM","0.805","0.684","0.783","0.807","0.810","0.811","0.813","0.809","0.805","0.805","0.807","0.817","0.817","0.792","0.822","0.821","0.823","0.825","0.824"
