"Data","clin","mol","naive","pcr.las","ipf.las","stk.pf:ibsLoss","stk.pf:logLik:ridge","stk.pf:PaLogLik:ridge","stk.comp:ibsLoss","stk.comp:logLik:lasso","stk.comp:logLik:ridge","stk.comp:PaLogLik:lasso","stk.comp:PaLogLik:ridge","Rstk.comp:ibsLoss","Rstk.comp:logLik:ridge","Rstk.comp:PaLogLik:ridge","Rstk.pf:ibsLoss","Rstk.pf:logLik:ridge","Rstk.pf:PaLogLik:ridge"
"BLCA","0.183","0.194","0.188","0.186","0.184","0.184","0.183","0.184","0.183","0.183","0.183","0.182","0.182","0.180","0.181","0.177","0.178","0.179","0.178"
"BRCA","0.133","0.139","0.133","0.134","0.132","0.133","0.133","0.133","0.134","0.134","0.134","0.133","0.133","0.130","0.146","0.130","0.132","0.145","0.131"
"HNSC","0.205","0.200","0.200","0.208","0.200","0.197","0.198","0.199","0.197","0.198","0.198","0.197","0.197","0.197","0.201","0.191","0.194","0.196","0.192"
"KIRC","0.135","0.145","0.132","0.130","0.130","0.130","0.129","0.131","0.133","0.132","0.132","0.131","0.131","0.132","0.131","0.130","0.130","0.130","0.131"
"LAML","0.205","0.203","0.190","0.205","0.194","0.193","0.193","0.195","0.204","0.204","0.203","0.205","0.205","0.201","0.189","0.188","0.195","0.186","0.184"
"LGG","0.154","0.135","0.127","0.143","0.128","0.129","0.128","0.128","0.132","0.131","0.131","0.127","0.127","0.142","0.146","0.136","0.137","0.144","0.137"
"LIHC","0.184","0.183","0.178","0.183","0.178","0.177","0.177","0.177","0.181","0.182","0.181","0.178","0.178","0.183","0.181","0.172","0.177","0.177","0.172"
"LUAD","0.169","0.177","0.168","0.170","0.166","0.166","0.166","0.166","0.169","0.168","0.169","0.165","0.166","0.168","0.173","0.165","0.166","0.169","0.167"
"PAAD","0.189","0.185","0.186","0.189","0.185","0.183","0.182","0.185","0.185","0.185","0.185","0.188","0.188","0.185","0.180","0.179","0.182","0.179","0.180"
"SKCM","0.160","0.211","0.172","0.160","0.160","0.159","0.181","0.162","0.160","0.181","0.194","0.160","0.160","0.168","0.168","0.160","0.157","0.157","0.158"
