"Data","clin","mol","naive","pcr.las","ipf.las","stk.pf:ibsLoss","stk.pf:logLik:ridge","stk.pf:PaLogLik:ridge","stk.comp:ibsLoss","stk.comp:logLik:lasso","stk.comp:logLik:ridge","stk.comp:PaLogLik:lasso","stk.comp:PaLogLik:ridge","Rstk.comp:ibsLoss","Rstk.comp:logLik:ridge","Rstk.comp:PaLogLik:ridge","Rstk.pf:ibsLoss","Rstk.pf:logLik:ridge","Rstk.pf:PaLogLik:ridge"
"BLCA","16.652","17.203","16.759","16.823","16.583","16.532","16.669","16.669","16.613","16.649","16.686","16.531","16.513","16.248","16.002","16.125","15.920","15.911","16.154"
"BRCA","16.905","17.959","16.910","17.285","16.743","16.791","17.386","17.040","17.071","17.528","17.594","17.033","17.046","16.170","15.110","16.415","15.705","15.121","16.504"
"HNSC","21.964","21.438","21.404","22.323","21.390","21.150","22.220","21.719","21.265","22.023","22.139","21.441","21.445","20.792","20.008","20.792","20.355","20.001","20.844"
"KIRC","17.426","18.555","16.977","16.844","16.683","16.685","16.726","17.016","17.255","16.919","17.018","16.939","16.951","17.064","16.682","16.802","16.689","16.679","16.965"
"LAML","6.494","6.471","6.104","6.517","6.152","6.138","6.231","6.256","6.456","6.509","6.497","6.508","6.500","6.356","6.037","6.039","6.159","5.942","5.923"
"LGG","9.063","7.374","6.777","7.716","6.861","6.804","7.408","7.336","7.417","7.546","7.834","7.240","7.243","7.829","7.368","7.600","7.047","7.095","7.490"
"LIHC","13.829","13.062","12.802","13.530","13.021","12.970","13.233","13.175","13.202","13.413","13.493","13.237","13.257","13.626","12.081","12.671","12.922","12.234","12.671"
"LUAD","16.669","17.095","16.277","16.673","16.190","16.162","16.310","16.291","16.656","16.581","16.680","16.312","16.335","16.395","15.851","16.190","15.983","15.910","16.367"
"PAAD","8.180","8.011","8.026","8.186","7.957","7.905","7.930","8.044","8.027","8.040","8.042","8.149","8.147","7.949","7.773","7.817","7.805","7.751","7.846"
"SKCM","14.259","16.921","14.719","14.073","13.981","13.913","16.290","14.150","14.258","16.406","17.464","13.967","13.978","14.474","13.862","13.824","13.482","13.293","13.715"
