"Data","clin","mol","naive","pcr.las","ipf.las","stk.comp:ibsLoss","stk.comp:logLik:lasso","stk.comp:logLik:ridge","stk.comp:PaLogLik:lasso","stk.comp:PaLogLik:ridge","Rstk.comp:ibsLoss","Rstk.comp:logLik:ridge","Rstk.comp:PaLogLik:ridge"
"100_1_0","0.539","0.497","0.497","0.524","0.539","0.541","0.533","0.538","0.501","0.535","0.570","0.577","0.551"
"500_1_0","0.617","0.581","0.605","0.596","0.646","0.633","0.633","0.640","0.639","0.643","0.631","0.634","0.634"
"100_2.33_0","0.534","0.502","0.502","0.533","0.559","0.554","0.547","0.542","0.525","0.547","0.603","0.601","0.597"
"500_2.33_0","0.659","0.640","0.677","0.621","0.714","0.684","0.686","0.704","0.709","0.710","0.658","0.663","0.663"
"100_1_0.3","0.557","0.513","0.513","0.537","0.564","0.554","0.551","0.551","0.537","0.554","0.578","0.585","0.567"
"500_1_0.3","0.613","0.684","0.689","0.584","0.685","0.687","0.686","0.691","0.697","0.697","0.625","0.636","0.654"
"100_2.33_0.3","0.560","0.521","0.521","0.538","0.568","0.565","0.564","0.571","0.540","0.551","0.596","0.602","0.586"
"500_2.33_0.3","0.644","0.726","0.734","0.608","0.746","0.736","0.737","0.747","0.750","0.751","0.656","0.673","0.701"
"100_1_0.7","0.589","0.585","0.585","0.528","0.635","0.631","0.631","0.624","0.584","0.618","0.634","0.638","0.628"
"500_1_0.7","0.658","0.757","0.758","0.655","0.758","0.759","0.760","0.764","0.766","0.766","0.708","0.715","0.753"
"100_2.33_0.7","0.589","0.661","0.662","0.597","0.698","0.679","0.681","0.688","0.644","0.688","0.657","0.663","0.677"
"500_2.33_0.7","0.679","0.808","0.811","0.685","0.809","0.809","0.810","0.813","0.814","0.813","0.745","0.752","0.801"
